academic_year,cap_round,institute_code,course_code,seat_level,stage,category,closing_rank,closing_percentile,source_document,source_page
2026-27,CAP Round I,01002,0100219110,State Level,I,GOPENS,34692,91.7858261,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GSCS,59898,85.6921506,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GSTS,83081,79.9864621,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GVJS,42419,89.9742931,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GNT1S,37979,90.9657321,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GNT2S,49413,88.2458930,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GNT3S,38815,90.8146472,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GOBCS,39541,90.5704062,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,GSEBCS,43228,89.6830085,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,LOPENS,29259,93.0716724,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,LSCS,48878,88.2977496,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,LSTS,78065,81.2365306,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,LOBCS,31224,92.5914149,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,LSEBCS,43376,89.6590708,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,PWDOPENS,56918,86.3943435,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,PWDOBCS,197479,37.1379111,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,DEFOPENS,81290,80.4716144,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,DEFOBCS,192421,40.4162412,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,TFWS,24536,94.2142883,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,PWDRSTS,156087,57.4188806,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
2026-27,CAP Round I,01002,0100219110,State Level,I,DEFRSCS,183913,44.6246246,2026ENGG_CAP1_MH_CutOff_V1.pdf,1
