institute_code,institute_name,city_hint,district_hint,location_verified
01002,"Government College of Engineering, Amravati",Amravati,Amravati,false
01005,"Sant Gadge Baba Amravati University,Amravati",Amravati,Amravati,false
01012,"Government College of Engineering,Yavatmal",Yavatmal,Yavatmal,false
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Shegaon,false
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Amravati,false
01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Amravati,Amravati,false
01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Amravati,false
01116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Akola,Akola,false
01117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Pusad,Pusad,false
01119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,,,false
01120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,false
01121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Amravati,Amravati,false
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Amravati,Amravati,false
01125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Buldhana,Buldhana,false
01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Amravati,Amravati,false
01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Yavatmal,Yavatmal,false
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",Badnera,Badnera,false
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Yelgaon,Yelgaon,false
01180,"Sanmati Engineering College, Sawargaon Barde, Washim",Washim,Washim,false
01182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Buldhana,Buldhana,false
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Shegaon,Shegaon,false
