institute_code,course_code,program_name,status,home_university
01002,0100219110,Civil Engineering,Government Autonomous,Autonomous Institute
01002,0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute
01002,0100224610,Information Technology,Government Autonomous,Autonomous Institute
01002,0100229310,Electrical Engineering,Government Autonomous,Autonomous Institute
01002,0100237210,Electronics and Telecommunication Engg,Government Autonomous,Autonomous Institute
01002,0100246610,Instrumentation Engineering,Government Autonomous,Autonomous Institute
01002,0100261210,Mechanical Engineering,Government Autonomous,Autonomous Institute
01005,0100550310,Food Technology,University Department,Sant Gadge Baba Amravati University
01005,0100551710,Oil and Paints Technology,University Department,Sant Gadge Baba Amravati University
01005,0100552410,Paper and Pulp Technology,University Department,Sant Gadge Baba Amravati University
01005,0100552710,Petro Chemical Engineering,University Department,Sant Gadge Baba Amravati University
01012,0101219110,Civil Engineering,Government,Sant Gadge Baba Amravati University
01012,0101224510,Computer Engineering,Government,Sant Gadge Baba Amravati University
01012,0101229310,Electrical Engineering,Government,Sant Gadge Baba Amravati University
01012,0101237210,Electronics and Telecommunication Engg,Government,Sant Gadge Baba Amravati University
01012,0101261210,Mechanical Engineering,Government,Sant Gadge Baba Amravati University
01101,0110124210,Computer Science and Engineering,Un-Aided Autonomous,Autonomous Institute
01101,0110124610,Information Technology,Un-Aided Autonomous,Autonomous Institute
01101,0110135610,Electrical Engineering (Electronics and Power),Un-Aided Autonomous,Autonomous Institute
01101,0110137210,Electronics and Telecommunication Engg,Un-Aided Autonomous,Autonomous Institute
01101,0110161210,Mechanical Engineering,Un-Aided Autonomous,Autonomous Institute
01105,0110519110,Civil Engineering,Un-Aided Autonomous,Autonomous Institute
01105,0110524210,Computer Science and Engineering,Un-Aided Autonomous,Autonomous Institute
01105,0110524610,Information Technology,Un-Aided Autonomous,Autonomous Institute
01105,0110526310,Artificial Intelligence (AI) and Data Science,Un-Aided Autonomous,Autonomous Institute
01105,0110526710,Computer Science and Engineering (IoT),Un-Aided Autonomous,Autonomous Institute
01105,0110537210,Electronics and Telecommunication Engg,Un-Aided Autonomous,Autonomous Institute
01105,0110561210,Mechanical Engineering,Un-Aided Autonomous,Autonomous Institute
01107,0110719110,Civil Engineering,Un-Aided Autonomous,Autonomous Institute
01107,0110724210,Computer Science and Engineering,Un-Aided Autonomous,Autonomous Institute
01107,0110729310,Electrical Engineering,Un-Aided Autonomous,Autonomous Institute
01107,0110737210,Electronics and Telecommunication Engg,Un-Aided Autonomous,Autonomous Institute
01107,0110761210,Mechanical Engineering,Un-Aided Autonomous,Autonomous Institute
01107,0110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Autonomous,Autonomous Institute
01107,0110799510,Artificial Intelligence and Data Science,Un-Aided Autonomous,Autonomous Institute
01114,0111419110,Civil Engineering,Un-Aided Autonomous,Autonomous Institute
01114,0111424210,Computer Science and Engineering,Un-Aided Autonomous,Autonomous Institute
01114,0111424610,Information Technology,Un-Aided Autonomous,Autonomous Institute
01114,0111426310,Artificial Intelligence (AI) and Data Science,Un-Aided Autonomous,Autonomous Institute
01114,0111437210,Electronics and Telecommunication Engg,Un-Aided Autonomous,Autonomous Institute
01114,0111461210,Mechanical Engineering,Un-Aided Autonomous,Autonomous Institute
01116,0111619110,Civil Engineering,Un-Aided,Sant Gadge Baba Amravati University
01116,0111624210,Computer Science and Engineering,Un-Aided,Sant Gadge Baba Amravati University
01116,0111624610,Information Technology,Un-Aided,Sant Gadge Baba Amravati University
01116,0111650710,Chemical Engineering,Un-Aided,Sant Gadge Baba Amravati University
01116,0111661210,Mechanical Engineering,Un-Aided,Sant Gadge Baba Amravati University
