code,category_group,label,gender,university_scope,special
DEFNT2S,NT2,Defence - Nomadic Tribes 2 - State Level,ANY,STATE,DEFENCE
DEFNT3S,NT3,Defence - Nomadic Tribes 3 - State Level,ANY,STATE,DEFENCE
DEFOBCS,OBC,Defence - Other Backward Class - State Level,ANY,STATE,DEFENCE
DEFOPENS,OPEN,Defence - Open - State Level,ANY,STATE,DEFENCE
DEFRNT1S,NT1,Defence Common Reserved Seat - Nomadic Tribes 1 - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRNT2S,NT2,Defence Common Reserved Seat - Nomadic Tribes 2 - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRNT3S,NT3,Defence Common Reserved Seat - Nomadic Tribes 3 - State Level,ANY,STATE,DEFENCE_RESERVED
DEFROBCS,OBC,Defence Common Reserved Seat - Other Backward Class - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRSCS,SC,Defence Common Reserved Seat - Scheduled Caste - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRSEBCS,SEBC,Defence Common Reserved Seat - Socially and Educationally Backward Class - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRSTS,ST,Defence Common Reserved Seat - Scheduled Tribe - State Level,ANY,STATE,DEFENCE_RESERVED
DEFRVJS,VJ,Defence Common Reserved Seat - Vimukta Jati - State Level,ANY,STATE,DEFENCE_RESERVED
DEFSCS,SC,Defence - Scheduled Caste - State Level,ANY,STATE,DEFENCE
DEFSEBCS,SEBC,Defence - Socially and Educationally Backward Class - State Level,ANY,STATE,DEFENCE
DEFSTS,ST,Defence - Scheduled Tribe - State Level,ANY,STATE,DEFENCE
EWS,EWS,Economically Weaker Section,ANY,,
GNT1H,NT1,General - Nomadic Tribes 1 - Home University,ANY,HOME,
GNT1O,NT1,General - Nomadic Tribes 1 - Other Than Home University,ANY,OTHER,
GNT1S,NT1,General - Nomadic Tribes 1 - State Level,ANY,STATE,
GNT2H,NT2,General - Nomadic Tribes 2 - Home University,ANY,HOME,
GNT2O,NT2,General - Nomadic Tribes 2 - Other Than Home University,ANY,OTHER,
GNT2S,NT2,General - Nomadic Tribes 2 - State Level,ANY,STATE,
GNT3H,NT3,General - Nomadic Tribes 3 - Home University,ANY,HOME,
GNT3O,NT3,General - Nomadic Tribes 3 - Other Than Home University,ANY,OTHER,
GNT3S,NT3,General - Nomadic Tribes 3 - State Level,ANY,STATE,
GOBCH,OBC,General - Other Backward Class - Home University,ANY,HOME,
GOBCO,OBC,General - Other Backward Class - Other Than Home University,ANY,OTHER,
GOBCS,OBC,General - Other Backward Class - State Level,ANY,STATE,
GOPENH,OPEN,General - Open - Home University,ANY,HOME,
